,,Global Time,Time,Cell1 Cathode vConcentration,Cell1 Anode vConcentration,Cell1 Anode vSEI Length,Cell1 Voltage,Current
C2,37,14233.096196917737,2690.909090909091,29486.97294279565,18559.411237393888,5.39522857641896e-09,4.101,4.191736415891643
C2,38,14305.823469645009,2763.636363636364,29424.089608641745,18627.8751871661,5.398306686895099e-09,4.101,4.087967795187459
C2,39,14378.550742372281,2836.3636363636365,29362.753304591315,18694.65140250061,5.401348225320806e-09,4.100999999999999,3.987513507541048
C2,40,14451.278015099555,2909.0909090909095,29302.915206487767,18759.79328292363,5.404354308019207e-09,4.101,3.890222458215794
C2,41,14524.005287826827,2981.818181818182,29244.52868795141,18823.351817677805,5.407326003917844e-09,4.101,3.7959525956905686
C2,42,14596.732560554101,3054.545454545455,29187.549190093323,18885.375728903244,5.410264337273596e-09,4.101,3.704570274431095
C2,43,14669.459833281373,3127.2727272727275,29131.93410033303,18945.911604793127,5.413170290207559e-09,4.100999999999999,3.615949668309498
C2,44,14742.187106008645,3200.0000000000005,29077.642639606114,19005.0040235179,5.416044805065069e-09,4.101,3.5299722302345855
C2,45,14814.914378735917,3272.727272727273,29024.6357572995,19062.695668638982,5.4188887866147045e-09,4.100999999999999,3.4465261939499396
C2,46,14887.641651463191,3345.454545454546,28972.87603332327,19119.02743667492,5.421703104098848e-09,4.101,3.3655061143615854
C2,47,14960.368924190463,3418.1818181818185,28922.32758676577,19174.038537418837,5.424488593147277e-09,4.101,3.286812443077762
C2,48,15033.096196917737,3490.909090909091,28872.955990634495,19227.766587564318,5.427246057564276e-09,4.101,3.210351136168309
C2,49,15105.823469645009,3563.636363636364,28824.728192223887,19280.24769813906,5.429976270998812e-09,4.100999999999999,3.1360332914198676
C2,50,15178.550742372281,3636.3636363636365,28777.612438689313,19331.51655621394,5.4326799785065475e-09,4.101,3.0637748126135023
C2,51,15251.278015099555,3709.0909090909095,28731.57820744418,19381.606501308932,5.435357898011682e-09,4.101,2.9934960985865118
C2,52,15324.005287826827,3781.818181818182,28686.59614102513,19430.549596883568,5.438010721675987e-09,4.100999999999999,2.9251217550311885
C2,53,15396.732560554101,3854.545454545455,28642.63798610224,19478.376697273034,5.440639117181755e-09,4.101000000000001,2.8585803271801553
C2,54,15469.459833281373,3927.2727272727275,28599.676536335566,19525.117510394324,5.443243728934863e-09,4.101,2.793804051681854
C2,55,15542.187106008645,4000.0000000000005,28557.685578804845,19570.80065652721,5.4458251791936234e-09,4.101000000000002,2.730728626134323
C2,56,15614.914378735917,4072.727272727273,28516.639843758,19615.453723444363,5.448384069128679e-09,4.101,2.669292994865051
